PI,BLUP
PI_329435,30.11547033
PI_533750,35.08178379
PI_533752,33.24217771
PI_533754,30.30743921
PI_533757,26.81285979
PI_533758,26.48791231
PI_533759,31.72991053
PI_533761,29.26157591
PI_533766,29.34423415
PI_533769,32.45258072
PI_533785,32.45938405
PI_533792,24.76331128
PI_533794,26.34019177
PI_533799,28.32950396
PI_533800,32.98828207
PI_533807,31.50675286
PI_533810,28.06516571
PI_533814,29.47862056
PI_533821,31.23560297
PI_533824,36.2206461
PI_533830,30.8805701
PI_533842,33.39590855
PI_533845,32.03880664
PI_533852,34.64742064
PI_533856,30.51076064
PI_533863,33.49906518
PI_533866,25.42524196
PI_533869,33.21730045
PI_533871,31.71635614
PI_533877,37.34264067
PI_533902,31.69044297
PI_533903,26.43744086
PI_533910,27.15360044
PI_533911,31.43281779
PI_533912,36.72233077
PI_533915,43.69927969
PI_533919,37.86648169
PI_533921,47.07213343
PI_533924,35.9492913
PI_533936,25.57014412
PI_533937,29.91907519
PI_533938,32.86180557
PI_533940,41.82780683
PI_533949,33.28660433
PI_533954,35.3084251
PI_533955,33.89615878
PI_533956,36.35323125
PI_533957,28.91341075
PI_533961,28.13504336
PI_533962,34.99272564
PI_533964,30.81437386
PI_533965,35.69896126
PI_533967,29.14665047
PI_533972,30.57358905
PI_533976,36.66991229
PI_533980,34.39462621
PI_533985,33.7136572
PI_533986,39.94010451
PI_533987,33.02226532
PI_533991,33.6449271
PI_533996,26.05945163
PI_533997,32.66409894
PI_533998,39.15851486
PI_534009,30.56633489
PI_534021,33.43849089
PI_534028,28.92361576
PI_534037,37.44774688
PI_534046,29.9550702
PI_534054,33.31051408
PI_534063,28.13746141
PI_534070,29.72736138
PI_534079,30.91699366
PI_534097,33.65238547
PI_534099,32.79053446
PI_534101,31.38248949
PI_534104,31.66372143
PI_534105,37.56967417
PI_534108,32.07405285
PI_534112,34.96891396
PI_534114,30.37992352
PI_534116,31.56326974
PI_534117,38.1277327
PI_534123,34.12493125
PI_534124,31.05345591
PI_534127,40.81871867
PI_534137,39.56350289
PI_534138,30.56735949
PI_534145,31.00502721
PI_534148,37.26795025
PI_534155,33.19983909
PI_534163,29.95485419
PI_542406,30.27835313
PI_548797,28.98263266
PI_552861,29.40677568
PI_561072,30.10911782
PI_564165,30.77834492
PI_574455,25.49723365
PI_576333,29.13927336
PI_576337,45.68507225
PI_576339,30.34391493
PI_576340,34.20005485
PI_576345,21.1586545
PI_576347,27.77659764
PI_576348,31.98437994
PI_576349,31.38892397
PI_576350,34.7623548
PI_576352,31.35992189
